Time,20210309_SKNAS_PER2_1,20210309_SKNAS_PER2_2,20210309_SKNAS_PER2_3,20220614_GIMEN_PER2_1,20220614_GIMEN_PER2_2,20220614_GIMEN_PER2_3,20230815_CLBGA_PER2_1,20230815_CLBGA_PER2_2,20230815_CLBGA_PER2_3,20230815_IMR5_PER2_1,20230815_IMR5_PER2_2,20230815_IMR5_PER2_3,20230815_NGP_PER2_1,20230815_NGP_PER2_2,20230815_NGP_PER2_3,20230815_SKNSH_PER2_1,20230808_CLBGA_PER2_1,20230808_CLBGA_PER2_2,20230808_CLBGA_PER2_3,20230808_NGP_PER2_1,20230808_NGP_PER2_2,20230808_NGP_PER2_3,20230808_SKNAS_PER2_1,20230808_SKNAS_PER2_2,20230808_SKNSH_PER2_1,20230808_SKNSH_PER2_2,20230808_SKNSH_PER2_3,20220705_GIMEN_PER2_1,20220705_GIMEN_PER2_2,20220705_GIMEN_PER2_3,20220705_Kelly_PER2_1,20220705_Kelly_PER2_2,20220705_Kelly_PER2_3,20220705_SY5Y_PER2_1,20220705_SY5Y_PER2_2,20220628_Kelly_PER2_1,20220628_Kelly_PER2_2,20220628_Kelly_PER2_3,20210601_SY5Y_PER2_1,20210601_SY5Y_PER2_2,20210601_SY5Y_PER2_3,20210309_IMR5_PER2_1,20210309_IMR5_PER2_2,20210309_IMR5_PER2_3,20250617_SKNBE2_PER2_1,20250617_SKNBE2_PER2_2,20250617_SKNBE2_PER2_3
0,140.037,71.5582,109.285,275.519,256.22,200.737,1412.56,1253.34,1171.42,268.951,257.349,348.925,52377,29549.5,27767.6,2494.04,1911.27,1281.39,1315.93,9754.02,5037.18,7547.6,566.275,888.876,9357.03,8489.77,10457.6,4045.72,5003.84,4655.02,99.0483,132.154,122.162,3666.07,5067.17,13.3406,40.0496,15.9569,42.3384,21.1792,53.3418,1197.93,1769.02,1463.97,5864.73,4985.19,4677.59
0.166667,124.656,64.3516,98.8416,312.673,295.746,227.326,1361.28,1206.18,1125.03,266.962,254.586,348.524,51898.4,29509.7,27169.6,2314.16,1876.37,1246.76,1277.09,9580.1,5052.5,7343.12,561.304,853.303,8758.57,7917.22,9684.77,3864.09,4590.56,4395.85,83.1449,116.118,113.197,3563.62,4835.79,11.6433,37.9262,14.6,40.0686,19.0861,50.2874,1022.69,1469.16,1246.01,6076.35,5091.48,4758.3
0.333333,115.117,54.7971,91.0729,357.455,328.674,264.631,1319.99,1172.76,1087.93,257.934,244.856,339.805,50248.1,28810.9,26200.7,2174.91,1797.44,1184.97,1204.94,9153.17,4848.39,6990.17,534.662,812.053,8264.25,7428.68,9254.26,3535.58,4249,4027.3,67.833,97.025,100.205,3326.41,4545.96,12.1234,38.7005,14.9698,37.305,19.1945,46.6655,798.109,1156.37,996.026,6536.76,5366.78,4910.8
0.5,102.748,51.145,85.3767,374.71,337.875,280.618,1282.14,1140.34,1052.03,251.74,237.564,331.57,48680.2,27834.6,25018.7,2059.52,1697.47,1125.19,1146.17,8636.97,4615.1,6622.66,508.391,776.603,7765.58,7002.26,8911.55,3175.22,3887.96,3615.71,56.6271,83.415,86.2951,3052.41,4259.96,12.0682,38.1161,14.9305,37.2562,19.5012,48.1327,631.472,911.87,765.843,6859,5638.69,5161.73
0.666667,97.6035,46.7996,82.8619,388.311,347.194,291.096,1248.94,1111.01,1023.52,244.741,229.571,314.217,46882.8,26935.5,23892.9,1951.66,1615.64,1082.34,1091.22,8229.28,4379.42,6284.15,479.609,735.149,7268.59,6678.09,8568.88,2890.2,3548.32,3299.34,51.4196,76.7866,72.693,2842.55,3976.15,12.0098,39.1245,15.6101,37.0989,17.9745,48.5266,483.297,707.657,583.263,6863.74,5837.02,5431.8
0.833333,87.6609,43.2816,75.4472,395.139,353.489,294.793,1209.53,1084.54,1000.91,240.494,218.586,308.589,45357.2,25932,22976.4,1846.99,1537.86,1046.1,1061.94,7768.46,4138.54,5940.6,455.475,705.639,6835.39,6376.59,8238.49,2660.2,3259.57,3013.7,45.8104,70.39,62.2705,2650.92,3709.27,13.9656,40.6369,16.4442,39.7071,18.1609,49.5905,360.491,560.563,462.761,6885.81,5925.38,5537.37
1,84.1526,39.6271,72.9198,402.975,359.133,298.022,1179.99,1064.38,970.471,233.149,214.522,301.715,43839.4,25050.4,21855.3,1765.58,1485.01,1003.84,1004.44,7342.88,3928.27,5620.61,432.095,669.559,6390.7,6111,7896.7,2466.22,3013.7,2798.75,42.5746,66.0322,54.8541,2451.01,3422.19,11.7839,39.9486,16.0204,39.2669,18.6675,49.8402,284.462,465.028,375.879,6649.26,5921.21,5574.71
1.16667,79.4328,36.2866,73.1781,406.042,362.085,298.132,1149.51,1028.22,939.913,226.383,198.725,291.128,42144.6,24164.9,20844.7,1673.99,1399.02,963.332,959.752,6960.04,3718.43,5311.22,414.573,633.426,5994.49,5840.99,7511.72,2310.13,2804.7,2612.61,40.0489,62.482,51.8558,2227.64,3158.26,12.0496,40.3187,15.8737,39.7139,17.7803,48.9064,228.812,397.729,317.685,6398.95,5803.94,5495.67
1.33333,77.0849,34.9471,69.2681,404.855,354.882,300.378,1112.46,1003.61,909.755,219.419,194.235,280.878,40437.2,23269.3,20017.5,1593.13,1335.64,925.76,922.52,6601.58,3512.47,5007.24,395.955,603.62,5620.2,5584.17,7128.13,2157.72,2644.63,2446.56,37.0434,60.4903,46.1399,2033.58,2885.24,13.3644,43.966,16.3406,40.1626,17.7113,49.6923,195.824,352.951,274.528,6237.51,5632.2,5355.38
1.5,72.174,32.1527,70.1219,405.968,361.486,300.829,1083.74,977.485,887.851,214.392,188.231,271.098,38959.4,22395,19068.7,1512.51,1290.86,897.507,886.669,6240.04,3340.19,4753.12,373.237,584.699,5239.79,5249.88,6717,2029.44,2492.52,2318.62,33.1747,59.0785,43.3284,1866.45,2645.8,13.9391,43.09,16.22,40.113,18.6394,52.4881,178.416,322.563,247.251,6030.9,5434.79,5161.91
