Time;20230815_CHP212_BMAL1_1;20230815_CHP212_BMAL1_2;20230815_CHP212_BMAL1_3;20230815_IMR5_BMAL1_1;20230815_IMR5_BMAL1_2;20230815_IMR5_BMAL1_3;20230815_Lan5_BMAL1_1;20230815_Lan5_BMAL1_2;20230815_Lan5_BMAL1_3;20230815_NGP_BMAL1_1;20230815_NGP_BMAL1_2;20230815_SKNBE_BMAL1_1;20230815_SKNBE_BMAL1_2;20230815_SKNBE_BMAL1_3;20230815_SKNSH_BMAL1_1;20230815_SKNSH_BMAL1_2;20230815_SKNSH_BMAL1_3;20230808_CHP212_BMAL1_1;20230808_CHP212_BMAL1_2;20230808_CHP212_BMAL1_3;20230808_Lan5_BMAL1_1;20230808_Lan5_BMAL1_2;20230808_Lan5_BMAL1_3;20230808_NGP_BMAL1_1;20230808_NGP_BMAL1_2;20230808_NGP_BMAL1_3;20230808_SKNAS_BMAL1_1;20230808_SKNAS_BMAL1_2;20230808_SKNAS_BMAL1_3;20230808_SKNBE_BMAL1_1;20230808_SKNBE_BMAL1_2;20230808_SKNBE_BMAL1_3;20230808_SKNSH_BMAL1_1;20230808_SKNSH_BMAL1_2;20230808_SKNSH_BMAL1_3;20220705_GIMEN_BMAL1_1;20220705_GIMEN_BMAL1_2;20220705_GIMEN_BMAL1_3;20220705_Kelly_BMAL1_1;20220705_Kelly_BMAL1_2;20220705_Kelly_BMAL1_3;20220705_SY5Y_BMAL1_1;20220705_SY5Y_BMAL1_2;20220705_SY5Y_BMAL1_3;20220628_Kelly_BMAL1_1;20220628_Kelly_BMAL1_2;20220628_Kelly_BMAL1_3;20210601_CHP212_BMAL1_1;20210601_CHP212_BMAL1_2;20210601_CHP212_BMAL1_3;20210601_SY5Y_BMAL1_1;20210601_SY5Y_BMAL1_2;20210601_SY5Y_BMAL1_3;20210309_IMR5_BMAL1_1;20210309_IMR5_BMAL1_2;20210309_IMR5_BMAL1_3;20210309_SKNAS_BMAL1_1;20210309_SKNAS_BMAL1_2;20210309_SKNAS_BMAL1_3
0;18.8534;44.7391;29.1582;159.762;234.148;143.939;4084.63;4462.72;4083.31;3585.25;3232.1;17565.7;20965.6;19499.3;159.092;86.5393;129.074;19.9846;46.8041;18.4328;4753.66;4501.03;3101.87;685.151;611.319;583.312;213.023;115.629;140.324;5794.85;8409.8;5590.08;259.696;363.038;246.523;530.658;454.708;611.794;1188.32;743.561;1007.4;283.942;209.612;253.039;566.586;320.925;344.678;13.4764;34.2891;15.7904;30.0436;61.4888;24.7307;897.15;872.556;1014.84;780.547;752.619;668.766
0.166667;17.4555;40.1636;19.0806;155.234;224.741;138.216;4041.9;4402.08;4066.67;3590.47;3274.63;17092;20509;18787.9;146.034;81.7165;120.665;17.6452;41.9103;15.396;4584.59;4362.49;2998.45;653.458;593.396;567.977;194.95;109.322;130.836;5238.79;7634.51;5099.33;232.8;329.542;217.24;487.016;420.347;558.862;1176.8;756.683;950.398;276.347;196.606;231.425;584.389;329.395;356.266;12.282;33.2032;13.6398;27.6294;55.8423;22.6348;762.738;713.612;849.352;636.86;621.969;550.482
0.333333;15.8187;37.0472;16.9071;148.071;216.196;133.326;3976.85;4357.31;4037.67;3571.36;3276.26;16676.7;20150.4;18352.1;142.764;81.8368;115.704;16.6688;39.8551;14.9265;4423.15;4239.34;2853.54;626.728;561.725;553.393;182.954;99.9913;119.948;4865.31;7120.97;4753.87;217.226;303.06;204.549;453.363;384.918;515.502;1096.99;738.599;837.874;255.119;187.915;218.817;603.645;340.868;372.443;11.3468;31.9897;13.6362;26.8038;56.6639;21.547;641.318;600.104;722.843;501.888;508.84;448.579
0.5;15.8121;36.9688;15.536;145.761;211.388;125.439;3900.77;4223.17;3963.64;3571.4;3304.06;16386.4;19925.7;17976.1;138.27;81.0587;113.774;16.5876;38.6066;13.9487;4248.04;4135.33;2742.11;600.577;545.12;536.389;173.5;94.5011;112.388;4597.81;6756.35;4485.74;205.884;293.015;192.932;428.452;358.287;481.843;963.189;660.994;724.824;236.062;172.253;202.74;618.17;354.432;390.633;10.5151;31.3482;13.3305;27.1925;56.9495;23.6111;540.459;493.263;610.8;403.676;413.327;357.122
0.666667;14.5394;37.2515;15.976;145.922;204.455;123.18;3816.15;4175.82;3902.08;3544.94;3293.7;16155.6;19686.8;17780.7;133.377;80.381;115.062;16.2585;39.3161;13.1375;4078.73;4036.68;2618.19;574.651;528.765;517.52;164.659;88.4014;107.939;4363.82;6554.24;4282.76;200.087;293.872;194.477;405.965;336.776;455.387;823.791;572.595;626.249;222.743;157.742;196.225;629.345;363.711;398.035;10.8251;33.2882;13.2157;27.2953;56.2746;22.946;458.786;418.927;529.05;340.469;346.706;301.412
0.833333;13.5335;35.8852;15.4358;142.924;200.334;119.157;3727.43;4092.6;3847.39;3550.88;3301.61;15982.4;19376.2;17568.7;136.219;78.3113;110.163;15.0972;38.5258;12.8762;3884.47;3949.46;2492.83;556.314;502.193;506.411;157.744;85.7965;105.874;4185.09;6394.35;4106.67;196.971;283.288;192.309;385.582;323.147;431.775;711.992;492.423;565.053;212.027;151.703;183.181;645.087;370.93;408.765;11.0663;32.1278;14.4992;27.2139;57.8672;24.0378;396.421;351.527;469.426;287.858;303.714;258.489
1;15.637;36.6866;14.5917;139.945;195.535;115.03;3593.24;3967.69;3745.61;3536.35;3292.39;15757.2;19098.5;17252.1;131.828;76.2915;112.484;16.0981;39.8223;13.1949;3739.28;3860.93;2386.82;527.172;485.045;498.286;152.248;78.9752;101.214;3997.78;6313.21;3940.24;193.758;284.7;190.299;375.018;305.901;415.068;637.661;420.989;519.619;199.035;141.957;177.112;650.79;387.974;417.684;11.7194;31.6432;13.8869;27.3551;57.5087;23.3421;341.398;295.515;384.325;250.959;270.811;224.103
1.16667;14.6993;38.257;14.4523;136.564;191.532;110.356;3486.11;3855.33;3612.27;3527.81;3297.15;15505.5;18779.5;16995.8;130.957;76.2535;110.84;14.4368;41.4315;13.0729;3581.43;3760.99;2271.32;492.581;458.76;479.253;145.61;76.1751;98.3714;3851.91;6239.75;3798.26;192.701;280.472;190.44;353.1;290.401;393.724;581.451;382.279;491.762;195.936;135.912;169.162;657.238;387.66;422.935;10.9904;33.2627;13.0072;26.7492;56.0955;22.6351;300.179;253.34;339.665;220.424;246.224;195.795
1.33333;15.2941;37.572;13.6674;133.638;185.338;106.847;3392.21;3730.48;3543.74;3513.25;3296.09;15234.1;18502.9;16732.7;127.248;77.4648;109.682;14.4871;40.2186;12.8194;3436.28;3659.14;2173.56;470.262;438.081;461.467;134.437;73.6103;93.5113;3706.81;6152.06;3676.34;188.045;279.555;190.163;344.684;277.732;380.656;559.511;359.807;469.849;189.691;131.308;164.777;653.94;389.585;429.553;11.1164;32.8736;13.8537;27.0255;57.5481;22.8821;266.399;225.134;299.963;198.668;224.237;175.51
1.5;16.1681;39.2913;13.5121;127.845;181.91;101.547;3289.57;3599.37;3419.53;3502.69;3300;14990.3;18266.5;16412.5;124.147;73.9429;108.526;15.4005;41.078;13.4283;3304.27;3581.79;2082.43;443.24;421.661;435.811;132.715;74.5371;92.6601;3609.58;6048.86;3541.7;183.783;275.746;185.323;325.359;262.133;356.45;529.645;343.586;457.319;180.427;126.44;162.35;651.12;383.593;431.29;11.446;36.064;13.222;26.1313;59.6793;22.7782;245.454;201.009;270.299;180.961;208.234;156.777
1.66667;14.8836;39.9154;12.5335;124.307;173.851;96.165;3175.86;3491.94;3318.93;3464.97;3301;14794.9;18033;16199.9;125.732;72.5277;108.918;15.1254;42.0425;13.3561;3165.94;3455.94;1984.82;421.239;398.713;412.916;128.784;71.6899;92.1192;3475.2;5923.08;3431.16;176.375;270.177;185.892;309.562;250.166;342.061;519.311;330.681;449.295;177.266;123.017;157.811;643.1;389.51;427.479;11.3077;33.413;13.4925;27.3988;58.5539;22.6928;227.688;180.311;254.602;164.581;193.861;146.102
